"","V1","V2","V3"
"V1",0.173046372506515,0.384647627972257,0.0142281582634892
"V2",0.263168939473055,0.632999435492603,1
"V3",0.181405772559698,0.35171401918623,0.126468075272743
"V4",0.193847602083047,0.328970382035034,0.220868382273033
"V5",0.11780650783057,0.381105225196797,0.109874486928389
"V6",0.162476220841566,0.488325136654576,0.60284634874546
"V7",0.242824754208712,0.593060779582432,0.336444509817108
"V8",0.162789089203863,0.331634488293988,0
"V9",0.220716553189033,0.460474084486414,0.830128553466218
"V10",0.183769959989539,0.425606925898017,0.650447795848671
"V11",0.214467732117807,0.333638699346183,0.330885399016124
"V12",0.0701397658086913,0.274641860462395,0.420316819565388
"V13",0.167697938171959,0.614477874784195,0.296079668695533
"V14",0.307768842069305,0.63737242916558,0.44844052276055
"V15",0.236233249014098,0.67324002869844,0.643449690135079
"V16",0.199330367490945,0.542264333092007,0.162426311698584
"V17",0.139232773106393,0.176842166630695,0.095489167735839
"V18",0,0.147353975179241,0.341494531223979
"V19",0.219765624224323,0.665064284956779,0.620435048059669
"V20",0.250999739556163,0.4298308437859,0.753896406644733
"V21",0.0863192053780105,0.560210688700078,0.00969756492587914
"V22",0.114413269215829,1,0.0279993255012896
"V23",0.188307272338432,0.555984061916994,0.909864842116759
"V24",0.217663517186359,0.565248454013075,0.974326380252969
"V25",0.172257422586913,0.81384079508428,0.19792375144996
"V26",0.160973867784384,0.562011531705768,0.683269015797025
"V27",0.244973488186836,0.604747377301513,0.977513731764306
"V28",0.157918094334527,0.295392018631765,0.0151757394337392
"V29",0.110769509478383,0,0.230765695967049
"V30",0.170129863898462,0.321408670670918,0.0586901052966201
"V31",0.20934497482255,0.726853249000663,0.146640643982633
"V32",0.169877249596789,0.3325668874103,0.100471704232581
"V33",0.320234303735651,0.593639645178223,0.399123977932598
"V34",0.156417464713789,0.700587927439046,0.244755260849249
"V35",0.17364409696527,0.361814122405818,0.217944658142617
"V36",0.13077392558986,0.153215257333595,0.10550548032297
"V37",0.175673368359316,0.300359475695841,0.334231860249425
"V38",0.366554705737363,0.678373615173634,0.51098287213412
"V39",0.120804299990761,0.0513557644503712,0.0855967888273776
"V40",0.157253442290449,0.462789695983651,0.00942275522664689
"V41",0.509850876221259,0.486745500385509,0.890326248206551
"V42",0.166045838181962,0.458840815772986,0.549281611438304
"V43",0.201255213031044,0.451577159421838,0.291763623770151
"V44",1,0.484907414617059,0.754079090979663
"V45",0.664434876926874,0.489046850071101,0.757342540094868
