"","a","b","g","u"
"V1",0.761361626924717,-0.433398244591909,0.0073717305602858,1
"V2",1.24864694249765,0.148297374662221,0.236405780594627,1
"V3",1.42861776681549,1.35973929131808,0.205667002377886,1
"V4",2.683470816131,2.47138654886513,0.109613004164675,1
"V5",1.57375132595721,2.39714796637762,0.270579327645969,1
"V6",0.951416383235536,0.133986909333487,0.00159162221893397,1
"V7",1.32907659942034,1.22586000576583,0.0841798826830366,1
"V8",1.01428475371245,1.28868641950573,0.0507162972396545,1
"V9",0.987267775030279,-1.03452467393601,0.00619020805899783,1
"V10",2.12117958287239,1.71867625445254,0.170775754813841,1
"V11",0.629247961275865,1.79954141832098,0.0968538179406919,1
"V12",1.43592111592602,0.672778039472815,0.185658617459523,1
"V13",2.31220940160311,2.82329532976112,0.228539015814873,1
"V14",1.21713107803024,0.130905845306496,0.0896578948028225,1
"V15",1.34164073327487,0.192792908459267,0.0352042709342589,1
"V16",1.608550483804,0.0488359169439909,0.244767383130409,1
"V17",2.11659970119663,0.532053694063408,0.109422137899185,1
"V18",1.08522078682232,3.75767408467832,0.306678022227527,1
"V19",1.49730573855142,0.881435840032036,0.166087505168678,1
"V20",1.23016664761295,1.84638231368061,0.168971190731937,1
"V21",0.567135780998901,0.817073658087336,0.00527030782155375,1
"V22",0.857296767476058,5.61902598239719,0.141162748014883,1
"V23",2.77719850077989,0.866207820149945,0.203848236943199,1
"V24",0.788536935173027,1.32002545776322,0.0060245575803177,1
"V25",1.82262638388551,1.55520453952499,0.256301614911884,1
"V26",1.0727212954039,1.62210318419255,0.123869070808695,1
"V27",1.55924307586801,0.889450602732673,0.181852541674273,1
"V28",1.97376532129413,1.6677215751786,0.21226458561966,1
"V29",1.26911610809873,0.588364013847339,0.183608163202813,1
"V30",1.94211842850645,0.633543537235218,0.151731936919535,1
"V31",2.09854220044247,1.25364981380993,0.161395328640148,1
"V32",1.42966276448253,1.74569552884942,0.157915990535902,1
"V33",2.22493253723813,0.699190761066091,0.18682846087419,1
"V34",1.76317701772013,0.17558521061502,0.226576963476968,1
"V35",1.68642094787096,1.83122695572158,0.215284650827829,1
"V36",2.37668279933347,0.913500129818548,0.194281255983728,1
"V37",2.07678883865546,1.54118541420909,0.111148241349705,1
"V38",1.60273297671057,1.36557509579352,0.165791564980873,1
"V39",2.44071163011504,1.1952088389019,0.188275077004323,1
"V40",1.8529713831358,1.50539269033588,0.134011026146016,1
"V41",0.544898396277281,-0.673845853401383,0.0902790100726117,1
"V42",2.28044406252114,1.72331809572649,0.172734416029518,1
"V43",2.1661556616803,2.05140035121026,0.17230777070844,1
"V44",1.07272367564423,1.53294623789858,0.135203610853699,1
"V45",0.569651017302345,0.257300244300867,0.0196415554766811,1
