"","a","b","g","u"
"V1",0.930370114151078,-0.741856146226081,0.0105416359503188,1
"V2",2.1816242056813,1.97480324151816,0.604925980676004,1
"V3",1.04643131692582,-1.10210879900183,0.0782181983139686,1
"V4",1.21917262491577,-1.3508958563426,0.135138128710265,1
"V5",0.163424508651255,-0.780605619609064,0.0682128718102893,1
"V6",0.783615023122954,0.392246641556858,0.365456863420127,1
"V7",1.8991672594615,1.53792409980559,0.20482630393264,1
"V8",0.787958860983016,-1.3217538527043,0.00196257721883818,1
"V9",1.59221886780598,0.0875908265393143,0.502499715123803,1
"V10",1.0792554950901,-0.29381245233707,0.394158793974965,1
"V11",1.50546076497127,-1.29983028055747,0.201474363563882,1
"V12",-0.498376502930394,-1.94518220209623,0.255398237274276,1
"V13",0.856112904556968,1.77220044077128,0.180487781949967,1
"V14",2.80084547826362,2.02263834460379,0.27235580107065,1
"V15",1.80765135926344,2.41498520110418,0.389939192336144,1
"V16",1.29529487576198,0.982274255336649,0.099899698931611,1
"V17",0.460904962160073,-3.01498901775484,0.0595390507901319,1
"V18",-1.47219107458679,-3.33755309705041,0.207871282027658,1
"V19",1.57901625054932,2.3255527495777,0.376062205421007,1
"V20",2.01266806407125,-0.247608052627847,0.456534520423474,1
"V21",-0.273742533424257,1.17858502885284,0.00780985397179311,1
"V22",0.116313070937661,5.98933222293006,0.0188451458176008,1
"V23",1.14225115569098,1.13235099720475,0.550577779107576,1
"V24",1.5498307743626,1.23369190553496,0.589445727534269,1
"V25",0.919416400246312,3.95298243067874,0.121303356018116,1
"V26",0.762756480440528,1.1982840079185,0.413948788460641,1
"V27",1.92900010013876,1.66576092016669,0.59136758384956,1
"V28",0.720330380512168,-1.71820132142202,0.0111129927177847,1
"V29",0.0657234191612604,-4.94942201795336,0.141105846660291,1
"V30",0.889877555498543,-1.43361155859516,0.0373505628577477,1
"V31",1.43433683628883,3.00144704205254,0.0903815189997571,1
"V32",0.886370279916124,-1.31155456791655,0.0625433379540572,1
"V33",2.97391489292665,1.54425616829645,0.24261972935444,1
"V34",0.69949576587544,2.71413714443223,0.149541042314548,1
"V35",0.938668869943319,-0.991626252075209,0.133375230057819,1
"V36",0.343463039221713,-3.27343797202746,0.0655785207177594,1
"V37",0.966843102214889,-1.66386352939596,0.203492157218651,1
"V38",3.6170234336264,2.47114024193065,0.310066548909145,1
"V39",0.2050456012616,-4.38765393177805,0.0535743083351981,1
"V40",0.711102407790248,0.11292073162495,0.00764415378024099,1
"V41",5.60653533562487,0.374967388619549,0.53879672202471,1
"V42",0.833175288134347,0.069724901473796,0.333159287108114,1
"V43",1.32201926831626,-0.00973045024163956,0.177885364812285,1
"V44",12.4117242825376,0.354861020124809,0.456644672391821,1
"V45",7.75276651698729,0.400141287252577,0.458612412777335,1
