"","a","b","c","classificacoes",,
"1",0.0451294888611605,0.722564813547865,0.356811779453506,1,136,2015
"2",0.0663844476520573,0.720209088141736,0.375447660455961,1,137,
"3",0.0665105352815759,0.715606544133025,0.308008307672399,1,138,
"4",0.0551172330159776,0.715702235890769,0.407385565617088,1,139,
"5",0.0469376671664109,0.709309153405444,0.022039723673844,3,140,
"6",0.0834595152615399,0.719323644369338,0.296656494353035,1,141,
"7",0.0501247647679659,0.710264050014237,0.0945786761864777,3,142,
"8",0.0698151401635297,0.719408105524433,0.23556623602217,3,143,
"9",0.0725274440917004,0.718536145981465,0.492593641979752,1,144,
"10",0.0606588604319309,0.719021159154027,0.382154133660445,1,145,
"11",0.0801776373141265,0.718889429446889,0.411311313619844,1,146,
"12",0.0781250750660264,0.721131994948573,0.332448129706608,1,147,
"13",0.0702203997670777,0.716201221098355,0.384865096464254,1,148,
"14",0.0655926624134387,0.719611424633493,0.347327584193912,1,149,
"15",0.0470150952525109,0.728701975379484,0.402103652679747,1,150,
"16",0.00271414198258977,0.69871638605834,0.161128402123119,3,151,
"17",0.098148563296775,0.718691382095079,0.207226296944021,3,152,
"18",0.0656554327770568,0.717899983701053,0.245344355708019,3,153,
"19",0.0309731295448525,1,0.0933264891114339,3,154,
"20",0.0510509922034303,0.718720495295692,0.418049870082717,1,155,
"21",0.0467353969307314,0.721422981870431,0.364778898859988,1,156,
"22",0.0822176293626129,0.719558523178493,0.307314938411382,1,157,
"23",0.0634089117544606,0.716118190805277,0.416915145045224,1,158,
"24",0.0588684080265503,0.721826716468103,0.196621476312553,3,159,
"25",0.0699281102090622,0.715790080129029,0.292763376780184,1,160,
"26",0.0334067030911551,0.787416511945182,0.178955686306333,3,161,
"27",0.0586783634187587,0.722242762407031,0.267714242404362,1,162,
"28",0.071913251787809,0.720838123726429,0.35987332840358,1,163,
"29",0.0841588562211726,0.721996408008495,0.363738750655522,1,164,
"30",0.0908686589151437,0.72042051905637,0.40289730766071,1,165,
"31",0.0516502551986234,0.716187960826661,0.421834443816995,1,166,
"32",0.0499003731943613,0.717933347090271,0.196827931132839,3,167,
"33",0.0180777076964658,0.694850838822831,0.12651068218074,3,168,
"34",0.0968578726988675,0.719130839832166,0.547306798118556,1,169,
"35",0.0761804582292579,0.72130040885787,0.190525013248496,3,170,
"36",0.0624503431014935,0.721443008248352,0.335937267748688,1,171,
"37",0.0504222964345924,0.720286372407375,0.219731172637011,3,172,
"38",0.0652082200519888,0.716805688361679,0.27710838871169,1,173,
"39",0.0938822659190026,0.721301371564486,0.39502716713729,1,174,
"40",0.0907967758468856,0.720437335950394,0.328797778161886,1,175,
"41",0.0616110376666187,0.713197595574731,0.387856666428061,1,176,
"42",0.0844333496175373,0.716141463487131,0.430320878873533,1,177,
"43",0.0668247415200629,0.718321934540619,0.252170345197937,1,178,
"44",0.034839174167102,0.731543096100965,0.0389407177224683,3,179,
"45",0.0439825461553709,0.733031030624095,0.282660084486167,1,180,2015
"46",0.0652425255746325,0.715207791947741,1.37880665130001e-06,3,136,2014
"47",0.0470958487902942,0.718537514457404,6.05902938334824e-06,3,137,
"48",0.0675273470630492,0.713341498165582,7.42662831103213e-07,3,138,
"49",0.0477123603268219,0.720797252317681,6.14558506886615e-06,3,139,
"50",0.0501524525786709,0.718384022819198,4.98291659820011e-06,3,140,
"51",0.0497089448318471,0.717951502442476,5.41098028343367e-06,3,141,
"52",0.048518192462013,0.718817323300404,6.41747681029522e-06,3,142,
"53",0.0503176449853872,0.717215471455437,3.63530992860322e-06,3,143,
"54",0.0567451394384492,0.714314191851561,7.51534865711034e-07,3,144,
"55",0.0519933829409357,0.718667546976749,4.79897390515255e-06,3,145,
"56",0.0450622949773267,0.720593488652467,5.51698784028574e-06,3,146,
"57",0.0464490269558363,0.716311117348671,4.56593261653532e-06,3,147,
"58",0.0434703575983343,0.722224611619719,8.89579103544708e-06,3,148,
"59",0.0572483769319981,0.712857793253971,1.53333477402016e-06,3,149,
"60",0.0545141499277388,0.717583338915092,5.42065991774433e-06,3,150,
"61",0.0489876508296016,0.718797686720572,4.2161936709899e-06,3,151,
"62",0.0557851371984113,0.716353429292494,3.69752395729081e-06,3,152,
"63",0.0483986979865983,0.717585256109162,4.84216829322186e-06,3,153,
"64",0.0657182632836649,0.712159314759991,1.84617157135651e-07,3,154,
"65",0.0561887312233518,0.716356792186271,3.93598267910449e-06,3,155,
"66",0.0613015441540793,0.71859605229501,2.16611694995939e-05,3,156,
"67",0.0485931872900795,0.717325416605338,4.99274250245893e-06,3,157,
"68",0.0452605094188968,0.718423195017289,7.4387665590534e-06,3,158,
"69",0.0418904001328408,0.721883196852256,1.09452485216036e-05,3,159,
"70",0.0566170040800274,0.717836775536957,2.36461252743797e-06,3,160,
"71",0.046327083786196,0.722168901844745,8.23800602162911e-06,3,161,
"72",0.0474891353469693,0.7190116565182,6.46821843512949e-06,3,162,
"73",0.0456680944490779,0.719583347640637,5.03235878325617e-06,3,163,
"74",0.0430640371973473,0.721355079204748,9.23867683926497e-06,3,164,
"75",0.0497710035043052,0.716277173453612,4.02785036855239e-06,3,165,
"76",0.0690732182623444,0.715197804465388,3.54214199093192e-06,3,166,
"77",0.0451171589785191,0.723440610690824,9.76887056559127e-06,3,167,
"78",0.0615611144546685,0.715592182503773,1.66633779100063e-06,3,168,
"79",0.0466047387222947,0.718740642898531,5.55418649302241e-06,3,169,
"80",0.0516027231784109,0.715436530678723,3.08895526658794e-06,3,170,
"81",0.070352733506884,0.713565845948775,9.2479941525939e-07,3,171,
"82",0.0651521657705542,0.712881727147788,4.30831905541438e-07,3,172,
"83",0.0523221321507514,0.717013777510804,2.67461997153733e-06,3,173,
"84",0.0616986577422745,0.714302081864115,1.39115357909339e-06,3,174,
"85",0.0464423691189765,0.719415827927978,7.36582837897826e-06,3,175,
"86",0.0714895074907703,0.714244406096977,0,3,176,
"87",0.0509399833451494,0.717976697324886,3.74230285141751e-06,3,177,
"88",0.052584116045766,0.717090976830831,4.69162201479925e-06,3,178,
"89",0.0534691296402976,0.716538822229484,2.48401183457845e-06,3,179,
"90",0.0521545957164709,0.717419859791564,4.22572826890083e-06,3,180,2014
"91",0.108061622585848,0.720397593656479,0.235667075542858,3,136,2013
"92",0.105320438656374,0.718478111788174,0.267043960838683,1,137,
"93",0.0784108203246585,0.717513166788787,0.283190591622291,1,138,
"94",0.0554994418455433,0.70869837869225,0.0143831113246656,3,139,
"95",0.0599950257523725,0.710533499878962,0.265242932610568,1,140,
"96",0.142670830616832,0.71966820886698,0.472033776436304,1,141,
"97",0.0815185146458236,0.718818266118237,0.195839130636884,3,142,
"98",0.0819230817282291,0.718369896558397,0.303410778662235,1,143,
"99",0.124704869063296,0.718668111799134,0.252162299236134,1,144,
"100",0.0944063574676769,0.719271568388804,0.282452536304233,1,145,
"101",0.0749175841312011,0.714747961096755,0.408595156192331,1,146,
"102",0.0760716940785839,0.715852453159977,0.360163815315093,1,147,
"103",0.0743231928946024,0.7137757914161,0.302580535108646,1,148,
"104",0.0508459593288084,0.711976436316072,0.102679358584897,3,149,
"105",0.0742996865493222,0.723178464859571,0.370438082492466,1,150,
"106",0.0765711289567417,0.717811093090045,0.132682126690084,3,151,
"107",0.0557484098449748,0.714937594362323,0.435660603497933,1,152,
"108",0.0782587518274977,0.717036157413666,0.162823122558731,3,153,
