"","a","b","g","u"
"V1",3.26490588616759,0.350866653143172,0.564797366464374,1
"V2",61.0780959282338,-0.296787264505347,7.27274343032954e-06,1
"V3",61.0780959282308,-0.296787264505351,7.27274343032954e-06,1
"V4",3.99557856217609,1.35080917661652,0.182707519738325,1
"V5",1.4856631221755,1.19689225436458,0.54779174761993,1
"V6",3.31617189723138,0.656034544806106,0.441871919642455,1
"V7",4.6762995579159,0.507959367671736,0.393305954767044,1
"V8",-0.561958317378516,-4.88199519799438,0.483515880616389,1
"V9",2.95615594858901,1.49730188509129,0.509271573601779,1
"V10",2.76439767561177,0.71546003336902,0.476164526582449,1
"V11",3.67400558511659,0.836123238519566,0.261163225074039,1
"V12",0.11802948614442,4.55509074134714,0.0235923715820624,1
"V13",2.05580407866291,1.0265887366903,0.221579226527727,1
"V14",3.72241206460876,1.62231686379444,0.213336192246889,1
"V15",2.38192666765449,1.47360091504545,0.223661326208872,1
"V16",4.21901669433019,2.13554041680257,0.255535173043888,1
"V17",-0.167076896711988,-4.88659221756422,0.00808796183348418,1
"V18",0.475676132560427,-0.145928338995133,0.00860205377390705,1
"V19",1.99480225674588,1.69507365427888,0.267546541517139,1
"V20",2.5427409790437,2.13097961926781,0.349882015832502,1
"V21",2.5786284893636,2.39810365551792,0.369496434729666,1
"V22",4.85228029368305,2.72223317765024,0.183939579252359,1
"V23",3.62989295308796,2.15818917034587,0.185710597703094,1
"V24",2.51086798085412,1.77838718432282,0.265370363583618,1
"V25",2.64177857531495,1.99615859896317,0.211321964052511,1
"V26",2.54473481068424,1.7403895373063,0.27100012862523,1
"V27",0.47567613256024,-0.145928338997414,0.00860205377341576,1
"V28",-0.151844056184115,-3.99969288667568,0.00570017490287306,1
"V29",0.0557802184666384,-0.232302041498038,0.174632758669174,1
"V30",2.6842415020514,1.53314573988883,0.558567307757193,1
"V31",1.23768903914834,2.08839131103288,0.215061329948226,1
"V32",0.169369736483853,1.08619493662374,0.0459686370924947,1
"V33",0.169369736482769,1.08619493656342,0.0459686370875929,1
"V34",1.45141889924689,2.7597805228861,0.22000220151916,1
"V35",0.541527803751761,0.11314476961689,0.0159745198374305,1
"V36",0.541527803751872,0.113144769617897,0.0159745198376637,1
"V37",3.83364659230494,2.52982643480122,0.220037058734631,1
"V38",-0.146148015816709,-2.05619197193642,0.0127733521691296,1
"V39",3.03007867683811,1.52336562219366,0.296180989257699,1
"V40",1.56484180275607,2.88314461965252,0.133503888325069,1
"V41",2.23144936995626,1.0123585004123,0.498472697358267,1
"V42",2.8055217024878,1.17584513846008,0.245324553207246,1
"V43",4.85179414093576,1.3198492582799,0.309623162627932,1
"V44",3.97641176713783,1.4423366125433,0.318239745935081,1
"V45",-0.194309522045684,-1.61140725283666,0.0192440037328029,1
