id_questao,discriminacao,dificuldade,acerto_casual,grupo,,
96,0.56239792714096,0.369623409895287,0.332582335099625,3,96,2015
97,0.481742691047095,0.353818246381383,0.0673287754780475,2,97,
98,0.467321780557345,0.398127902019592,0.0315280034422692,2,98,
99,0.18870836988616,0.196812972904363,0.234194948589353,2,99,
100,0.143220215016464,0.153714289959914,0.526616486315375,1,100,
101,0.561730247087535,0.458000518446383,0.358212628355928,3,101,
102,0.442148509792978,0.357255486846097,0.0163220192778584,2,102,
103,0.444038450102842,0.352908104921132,0.00754808155480037,2,103,
104,0.56628541648634,0.447789346012411,0.262920906815285,3,104,
105,0.624787322150787,0.451013298693435,0.395377417668751,3,105,
106,0.626302046089777,0.425238449204771,0.330588733150617,3,106,
107,0.320668969226158,0.904359538513836,0.128462193659621,2,107,
108,0.514985821679392,0.507565943170354,0.302547496015609,3,108,
109,0.370317316800982,0.491679886436951,0.211825897349013,2,109,
110,0.339509518868323,0.581276678577202,0.0872182607342428,2,110,
111,0.544864117154955,0.446927015342206,0.428791680262839,3,111,
112,0.498001132879731,0.549160480054433,0.365738675249084,3,112,
113,0.611495886696209,0.432720619744852,0.470348566605136,3,113,
114,0.39585246540605,0.35207934431527,0.0114237223233474,2,114,
115,0.616721468157606,0.402287990470899,0.567495764212296,1,115,
116,0.681215808951556,0.456082381403162,0.342784468172045,3,116,
117,0.602086419967814,0.453921770106477,0.322047618773142,3,117,
118,0,0.254239918920935,0.285670893509286,2,118,
119,0.216075866558202,0,0.378216222628601,2,119,
120,0.604182145045225,0.42450763415175,0.362601723331524,3,120,
121,0.542284065902878,0.384738792699492,0.0117982433728998,2,121,
122,0.652602885708827,0.383379218825033,0.196075022683737,3,122,
123,0.581638144303053,0.42265117498494,0.321983734876021,3,123,
124,0.609141984996128,0.347733863171127,0.149560660844499,2,124,
125,0.479660126429536,0.38698664896735,0.0649732270228881,2,125,
126,0.338183073465087,0.61375707828331,0.0613858634855585,2,126,
127,0.676878393659612,0.43873568370107,0.348394701813613,3,127,
128,0.389399470539873,0.43693547705854,0.0703154679315035,2,128,
129,0.435209499064174,0.448601160500988,0.173682883594754,2,129,
130,0.675313866602509,0.421199679303733,0.409283224332856,3,130,
131,0.657210505770764,0.427811671691592,0.379790314790461,3,131,
132,0.764213933095003,0.427560934495132,0.380231714842652,3,132,
133,0.677994276649361,0.407061414604079,0.26061826349425,3,133,
134,0.395260253789311,0.579995281197974,0.442146343524713,3,134,
135,0.474987750990531,0.429418948613413,0.207285899196844,2,135,2015
41,0.550077248711629,0.408438873915457,0.639305440288721,1,96,2014
42,0.485494921889744,0.39730177505381,0.0485157827844658,2,97,
43,0.496593385516247,0.375655684571801,0.0698752440569379,2,98,
44,0.458602797307228,0.366732727980155,0.0100236572381953,2,99,
45,0.570783501077951,0.485673279509661,0.274485318839734,3,100,
46,0.680632340416488,0.434453641797047,0.585909376082665,1,101,
47,0.504917379514103,0.436237544564619,0.249546626271817,3,102,
48,0.686200610041085,0.435506587220777,0.338130106703531,3,103,
49,0.601210183879989,0.376717147404884,0.326385805066965,3,104,
50,0.533692171854835,0.3738328480449,0.00938990821433998,2,105,
51,0.665893274629767,0.466118662489226,0.305753690313925,3,106,
52,0.594474470242238,0.362457570670251,0.0742669564096173,2,107,
53,0.683370234146002,0.484237756063535,0.371388628823723,3,108,
54,0.695909857951278,0.470356608994389,0.501017579414566,3,109,
55,0.121186511345368,0.152584967833558,0.376357254360451,2,110,
56,0.510802522970963,0.369039034132356,0.00614031264022599,2,111,
57,0.357998477531444,0.575279936654478,0.0250995800262142,2,112,
58,0.620172860908417,0.44367605912147,0.290593945782768,3,113,
59,0.546858506124881,0.38013190493631,0.0918155122286525,2,114,
60,0.60955119633651,0.410139922165033,0.322843698561918,3,115,
61,0.569307818430971,0.424966019859039,0.320045381985383,3,116,
62,0.721130330172187,0.421126916564424,0.393308093005288,3,117,
63,0.632966911995036,0.425512732291811,0.316717998853089,3,118,
64,0.746425831595088,0.51008727847636,0.302958280013691,3,119,
65,0.458064364720767,0.385053309877948,0.0311352907392573,2,120,
66,0.496466175780191,0.493628851616914,0.390885526358676,3,121,
67,0.738186897296583,0.493238634701037,0.29091871780956,3,122,
68,0.456608042852444,0.349653513616936,0.00890495231511849,2,123,
69,0.308724665938035,0.849849946307095,0.239837378684012,3,124,
70,0.665119499543877,0.431406374267903,0.331950590386083,3,125,
71,0.192701413342666,0.224617361764565,0.0915861121657049,2,126,
72,0.643649286075858,0.429182743010095,0.396123563070184,3,127,
73,0.646930335124362,0.507440364495471,0.420406606544884,3,128,
74,0.525567354921681,0.367252874940734,0.0514295043376141,2,129,
75,0.509957920527326,0.432675873483002,0.340566026833037,3,130,
76,0.588722295085768,0.427037223957049,0.292456589730865,3,131,
77,0.351253139911974,1,0.40698533169995,3,132,
78,0.667441642010936,0.472800588265789,0.283553873243042,3,133,
79,0.636150627572847,0.46719505610436,0.458416830508644,3,134,
80,0.493657915059404,0.368607687823672,0.0534784894149951,2,135,2014
81,0.510661389662064,0.401534320404346,0.146534544468141,2,96,2013
82,0.586291416126605,0.419920257416164,0.330901830126899,3,97,
83,0.53109279263084,0.400697122298127,0.281177682687939,3,98,
84,0.616358394550402,0.444644907752103,0.42797345789852,3,99,
85,0.446253306168427,0.437745879347144,0.164260021335979,2,100,
86,0.530234611782911,0.363468028881943,0.153909196301627,2,101,
87,0.481561420358087,0.377457062309141,0.0471498984565055,2,102,
88,0.572819855531669,0.461561433083631,0.237641545555552,3,103,
89,0.440618262461912,0.427550501039702,0.0459487065110886,2,104,
90,0.380958452720632,0.406665047323462,0.0104926083921265,2,105,
91,0.384998245228857,0.571787820297103,0.285346425348775,3,106,
92,0.622563564424961,0.423015796676115,0.396710564050181,3,107,
93,0.414097636259784,0.355540214807244,0.0352657745058401,2,108,
94,0.533854622034579,0.505552984722031,0.389230879050586,3,109,
95,0.564502857507915,0.496344256340328,0.287184586114823,3,110,
96,0.675263637853743,0.436539549209677,0.402065149967014,3,111,
97,0.625686250280332,0.399845079576076,0.291463410430402,3,112,
98,0.551364366472844,0.442493015958806,0.406292309811276,3,113,
99,0.424018085229606,0.438903125635671,0.00245481271298403,2,114,
100,0.58592041363065,0.436626849371406,0.416579109719434,3,115,
101,0.521418517762905,0.363548575539976,0.0706729472699261,2,116,
102,0.480081808717739,0.499185654245083,0.322344647094063,3,117,
103,0.544204321224664,0.449557203218548,0.423351474457143,3,118,
104,0.563177753170939,0.469850860038075,0.241400459699426,3,119,
105,0.467781554171777,0.359687036580879,0.0137110583613711,2,120,
106,0.371915051982528,0.534244304972218,0.0894031679479304,2,121,
107,0.458838468353513,0.500567487620808,0.41405949578352,3,122,
108,0.396209188617042,0.465946058560719,0.0233996003488032,2,123,
109,0.625255298415151,0.406225811261596,0.252230932687226,3,124,
110,0.604514686427066,0.404953843526253,0.58261858089301,1,125,
111,0.573431397132867,0.445471054175341,0.219409655812403,3,126,
112,0.461876242006819,0.433493723333084,0.410623576680944,3,127,
113,0.398694109808507,0.443948415663174,0.0205335391964207,2,128,
114,0.393860969955522,0.43929148406775,0.0203073256655415,2,129,
115,0.562101475101759,0.416290905214526,0.240609190230938,3,130,
116,0.50247665588186,0.404202444564648,0.180894783016035,2,131,
117,0.445947967344754,0.380613680110018,0.00582861215690153,2,132,
118,0.781347452943637,0.451246902657775,0.327959645370315,3,133,
119,0.621463789464021,0.464600374215888,0.275772328820341,3,134,
120,0.62610191367052,0.397109405385806,0.392590949105644,3,135,2013
121,0.558497459499093,0.397604606404804,0.523894017643368,1,96,2012
122,0.558126348897906,0.413000499954352,0.323446775324391,3,97,
123,0.451582740552841,0.380895929518873,0.000902766572543269,2,98,
124,0.435667436962373,0.363782870298358,0.0185932571314405,2,99,
125,0.583262194996588,0.383398899953657,0.0801696349438166,2,100,
126,0.531845427530493,0.329004406442065,0.0308504176029461,2,101,
127,0.521924743815479,0.350448216577497,0.00795476387670968,2,102,
128,0.525610337273711,0.411505334669449,0.175747204810965,2,103,
129,0.454591550677439,0.426735502867277,0.377641042907149,3,104,
130,0.530829080341017,0.378426543289461,0.0140682543431727,2,105,
131,0.633640515420595,0.41929622919334,0.318069572171455,3,106,
132,0.66047322573357,0.425217495090325,0.25154033889349,3,107,
133,0.574780317384749,0.393792781911839,0.325449397101989,3,108,
134,0.551839017947173,0.41848457059471,0.369570080031463,3,109,
135,0.414264615246087,0.392650896353215,0.010887343857628,2,110,
136,0.718590059662248,0.450031240212073,0.276804000302033,3,111,
137,0.711788640369963,0.44760033853198,0.469515639839547,3,112,
138,0.585484000383126,0.442076575836309,0.231966009482334,3,113,
139,0.6280225926845,0.437328538101137,0.43308054152621,3,114,
140,0.627880695054687,0.428277879445368,0.415925811269852,3,115,
