"","V1","V2","V3"
"V1",0.378971979607012,0.729628124782252,0
"V2",0.299685807492636,0.717489036566765,0.0343183949108532
"V3",0.493825377567445,0.733819567213435,0.348663326085782
"V4",0.462660307070754,0.746107870526552,0.199078600984049
"V5",0.454498675410088,0.747944182642906,0.206252442691453
"V6",0.237380588556121,0.738965387969902,0.076647739932967
"V7",0.809589810239295,0.750276038372039,0.502625567735186
"V8",0,0.683952561216474,0.242880511075787
"V9",0.636816504594445,0.744447058789825,0.428803833741747
"V10",0.646794183041927,0.75326557275603,0.304397828948286
"V11",0.253687272009392,0.734359286619857,0.00708597163384335
"V12",0.496943599643756,0.752487993732774,0.395178993816134
"V13",0.351088809466387,0.758718439315781,0.260244633984128
"V14",0.90727039427874,0.746606291794746,0.324006581471757
"V15",0.395154577805785,0.734883793170054,0.367639663547382
"V16",0.261940202777663,0.774847149962478,0.300070107259146
"V17",0.498336916702196,0.753235271894264,0.201777636380676
"V18",0.471579991276679,0.742721438163821,0.288800900963811
"V19",0.41376665633162,0.723988984217068,1
"V20",0.673828497692806,0.748894095523762,0.36936572513904
"V21",0.679898823154609,0.753084537426708,0.191307897651789
"V22",0.319756575015156,0.764529191129968,0.230647058323512
"V23",0.788631058787899,0.752855344530788,0.243366356055339
"V24",0.28505830777311,0.737117768749285,0.00170258530125676
"V25",0.504468344786416,0.736160230328953,0.275897460540322
"V26",0.113668254120294,0.654308142989495,0.354503260447126
"V27",1,0.748099356123239,0.312166548284213
"V28",0.686361296315157,0.744253926089498,0.185729934678961
"V29",0.0630367444527466,0.686076134555721,0.62350312355467
"V30",0.483394629961178,0.737055631401466,0.356001376122539
"V31",0.442395213362888,0.750846404122735,0.283179765048462
"V32",0.0964062301833125,0.675056382382038,0.20963671340035
"V33",0.433702482883109,0.756794371539648,0.254102920273761
"V34",0.760266839771673,0.752489118036268,0.131347133914326
"V35",0.0464835517868875,0.676587950902444,0.319140225152163
"V36",0.288285853843341,0.774375385418411,0.291135266678481
"V37",0.503599282769934,0.758795901803906,0.252597498700856
"V38",0.422468511430195,0.758105862137014,0.337779063834907
"V39",0.317554273076229,0.744395901056944,0.336289384637193
"V40",0.210988211562825,1,0.186302752356713
"V41",0.496411625324768,0.737005133554639,0.391236388776751
"V42",0.31371379252338,0.742250917789779,0.1256450644571
"V43",0.320816471299801,0.754026783614741,0.460909041672305
"V44",0.192233176957196,0,0.139536525285141
"V45",0.446945506057979,0.732101552420294,0.254800853662145
