"","a","b","g","u"
"V1",1.31967687813628,0.670160533585032,0.00295537498045828,1
"V2",0.739971760768323,-0.361533604860965,0.0212879000796649,1
"V3",2.15943368274924,1.02638881952562,0.189207651441646,1
"V4",1.93156859141903,2.07076466345552,0.109301066809444,1
"V5",1.87189438198772,2.22683177600704,0.113133257490283,1
"V6",0.284423797068869,1.46372917142845,0.0438997903521166,1
"V7",4.46816233771065,2.42501485571969,0.271452659306953,1
"V8",-1.45119716028152,-3.21177939176357,0.132699585832139,1
"V9",3.2049210087887,1.92961322741457,0.23201786654298,1
"V10",3.27787334210495,2.67909366673868,0.165561489101887,1
"V11",0.403650991333253,1.07225926202729,0.006740626393502,1
"V12",2.18223273139192,2.61300767195634,0.214055831211947,1
"V13",1.11580757800607,3.14252966518921,0.141975317400291,1
"V14",5.18235918849908,2.11312520089821,0.176036278168639,1
"V15",1.4379968163798,1.11683677261204,0.199344611043326,1
"V16",0.463992739106731,4.51329952364188,0.163249665757741,1
"V17",2.19242004410174,2.67651841389277,0.110742863090443,1
"V18",1.9967853428599,1.78295372108045,0.157229774448895,1
"V19",1.57408003087421,0.190893214351706,0.537144842373322,1
"V20",3.47553618960681,2.30756432641089,0.200266654965661,1
"V21",3.51991970113792,2.6637075780311,0.105150038935116,1
"V22",0.886720258419628,3.63638212595415,0.126164604222026,1
"V23",4.31492129774102,2.64422860538529,0.132959119103002,1
"V24",0.633022008805583,1.30670107457692,0.00386487811572754,1
"V25",2.23725031074733,1.22532043395081,0.150336892481536,1
"V26",-0.620105598681616,-5.73124147816604,0.192327282867742,1
"V27",5.86035669467936,2.24001988101625,0.169711457146271,1
"V28",3.56717042168751,1.91319899009034,0.102170349865524,1
"V29",-0.990300608373861,-3.03129811279352,0.336024176469915,1
"V30",2.08316870987852,1.30142005705851,0.193127560482484,1
"V31",1.78339926739814,2.47348991342728,0.154227022848132,1
"V32",-0.74631781634248,-3.96786052365166,0.114941099257782,1
"V33",1.71984190034858,2.97900424949312,0.13869447862447,1
"V34",4.10753478284998,2.61310322586482,0.0731196304897312,1
"V35",-1.11133016802183,-3.83769339436802,0.173436721878131,1
"V36",0.656620385717449,4.47320452587923,0.158476768026715,1
"V37",2.23089611701052,3.1491131575841,0.137890298276238,1
"V38",1.6377041130655,3.09046708244318,0.183393393186888,1
"V39",0.870618009188278,1.92526536106646,0.182597622249674,1
"V40",0.0914545113219503,23.648910989234,0.102476343035716,1
"V41",2.17834317250918,1.29712827404729,0.211949733125818,1
"V42",0.842538128797191,1.74296446461401,0.0700736450433388,1
"V43",0.894469747185486,2.74378854061329,0.249168130467942,1
"V44",-0.0456739342487619,-61.340514915893,0.0774943171043786,1
"V45",1.81666897749414,0.880375728560035,0.139067307289487,1
