"","a","b","g","u"
"V1",3.89647161258458,2.6220592104744,0.144848945149703,1
"V2",1.45593828664049,1.79537574753068,0.103241213083231,1
"V3",3.40468663090837,2.65421643204261,0.190716914310069,1
"V4",1.11506564494802,0.776615449208292,0.110087529296918,1
"V5",0.766216504477409,2.32515151589508,0.121258720690865,1
"V6",-0.049256654556721,-19.1596315498773,0.125638115813671,1
"V7",1.21251509477233,1.43983457488228,0.26931354495233,1
"V8",-0.0830773273875132,-4.98619473102947,0.0654137193459093,1
"V9",0.969169066562801,2.28984820661049,0.153687342889903,1
"V10",2.34121497164071,1.55281951534207,0.204008389656465,1
"V11",1.29780205245217,1.64395371698862,0.130305498732583,1
"V12",1.32440367901099,2.42170020064447,0.205551653974095,1
"V13",3.41793040727542,2.55885261001136,0.203359325454011,1
"V14",2.52102532750892,3.13237191756427,0.173088175179467,1
"V15",2.55027903691254,1.125970013677,0.182914709206498,1
"V16",1.13428222408963,3.69454208756811,0.28695802404061,1
"V17",0.252326018823698,8.83019739896433,0.0198682030414746,1
"V18",1.73108619149546,1.93217722487529,0.140221422845635,1
"V19",2.06920085256558,2.62093752190972,0.186838804095819,1
"V20",-0.418647442985872,-6.77428349498975,0.11312125648539,1
"V21",2.45105994769646,2.74221824236635,0.157069745222667,1
"V22",3.941323793948,2.42306614832744,0.127973204380647,1
"V23",2.8193801966832,2.13830175110606,0.130082669464263,1
"V24",1.86269806172427,0.801166888621483,0.297466673578472,1
"V25",-1.04827190644934,-4.96612515600218,0.137112730073962,1
"V26",0.616358873024836,1.58133558245741,0.00515557606171747,1
"V27",1.10322346180934,2.29417851153924,0.174722391413171,1
"V28",3.56888911721873,2.2227337284923,0.178898170866804,1
"V29",0.817385647100502,2.24442905585397,0.108697734977502,1
"V30",1.37581271511045,1.40916156832935,0.271397684603945,1
"V31",0.601568410926959,0.178424987985935,0.0395143504316605,1
"V32",2.50647820342386,2.74634831472947,0.229601049714959,1
"V33",0.622107862298574,1.26280470858407,0.0194003852170452,1
"V34",2.42415833908211,1.91319315627115,0.151970871101517,1
"V35",0.881616350385437,0.939544524747001,0.0632129576864115,1
"V36",1.83607767785383,1.60876421625396,0.224058460834052,1
"V37",2.77293583495902,2.80547250137809,0.119145578841607,1
"V38",3.18428593099419,1.76995158454604,0.190322428230273,1
"V39",1.01321965748628,2.71025441439643,0.139324773726931,1
"V40",0.646342726829846,-0.387676483101971,0.0106145172008586,1
"V41",1.28415321312721,1.52188997860983,0.290733471298593,1
"V42",1.01951217351149,1.80760513430134,0.272474624193752,1
"V43",3.16674135105991,2.63419101542207,0.210707936693094,1
"V44",4.12574795231933,1.98228095823935,0.10924254727071,1
"V45",1.1816916355468,1.902364713908,0.244923049610424,1
