"","a","b","g","u"
"V1",4.13779051975238,1.24852452740256,0.796945386590515,1
"V2",20.4002040350445,2.0951398340883,0.553863274046771,1
"V3",2.04174110751215,3.27893313006467,0.482529413935453,1
"V4",2.20916940957763,1.2477628772252,0.821488757046244,1
"V5",20.4002040349602,2.0951398340884,0.553863274046769,1
"V6",0.0389270992412864,-0.911225972970022,0.100863234681931,1
"V7",2.38233616851902,1.69394659195086,0.58582130370913,1
"V8",2.10089979608615,2.2382209892791,0.67551063383306,1
"V9",0.763918843198172,3.69042644954596,0.496388577824543,1
"V10",-0.0790482493239265,-2.95142630782582,0.0532874398202203,1
"V11",59.6001924015795,0.299870926706233,0.673711734019689,1
"V12",0.00155963871114946,-121.922375109606,0.24748813157266,1
"V13",3.53999470978821,1.71493881524439,0.265951467882637,1
"V14",3.88340932082151,1.39088240934854,0.774799806850402,1
"V15",59.6001924015792,0.299870926706257,0.673711734019689,1
"V16",3.45531793066951,1.55509055711826,0.403028913985936,1
"V17",59.1857262087556,0.502144226659273,0.623900172329785,1
"V18",4.61817146450492,1.76759895654993,0.596622779296951,1
"V19",2.56190859643781,2.48096841140511,0.147239579363073,1
"V20",0.0281069113622739,-9.81128885190937,0.144670215169163,1
"V21",59.1857257301944,0.50214422611114,0.62390017232713,1
"V22",1.14596673112762,3.53743819580871,0.323325963841201,1
"V23",73.0267490400611,-0.297541735108641,1.91257814347993e-06,1
"V24",-1.04307044662993,-1.88512180519945,0.498913663727221,1
"V25",-0.0783328687786134,-41.4960413332859,0.102421029561267,1
"V26",73.0267490400636,-0.297541735108625,1.91257814347993e-06,1
"V27",73.0267490400639,-0.297541735108603,1.91257814347993e-06,1
"V28",0.0180316978525227,-14.8811873294425,0.153336455156807,1
"V29",-0.137120564079727,-11.7655745760124,0.00155433234241172,1
"V30",-56.592019988105,-1.09795745224748,0.410124649239486,1
"V31",1.72788256947485,2.99747391370269,0.285534682576701,1
"V32",-56.5920199775899,-1.09795745230089,0.410124649239864,1
"V33",5.5366408292307,1.18282465004234,0.747129244109635,1
"V34",4.01542106337464,2.25974295853684,0.189867713680277,1
"V35",39.4287105572931,1.49408087036801,0.488013770226914,1
"V36",39.4288054774286,1.49407916917121,0.488013754207498,1
"V37",2.77224800316869,2.88419928327923,0.187089244308417,1
"V38",-0.00126847579420843,406.810545403818,0.174984950522522,1
"V39",0.0139628091083844,62.0912236282105,0.418976934721909,1
"V40",2.85105133298214,2.48507180148582,0.167241433878897,1
"V41",50.5829362618464,0.898283221980024,0.615203860145423,1
"V42",3.6502949841321,2.42719548321023,0.568873207537715,1
"V43",3.63111427515903,1.38870378833251,0.506404303377219,1
"V44",2.38930528762682,1.91725140635227,0.681342024270121,1
"V45",50.5829362618393,0.898283221980288,0.615203860145431,1
