"","V1","V2","V3"
"V1",0.736039789681736,0.227393204430288,0.495418830063608
"V2",0.715133114039311,0.215146791174584,0.562400284861102
"V3",0.509896735672472,0.208990382288078,0.596869124255686
"V4",0.335154445221494,0.152751488045771,0.0230353634783032
"V5",0.369441715605944,0.164459674925708,0.558555560003518
"V6",1,0.222739684278771,1
"V7",0.533598741389713,0.217316996877199,0.410396570325429
"V8",0.53668432520498,0.214456371303318,0.640033942287933
"V9",0.862975801526701,0.216359003017388,0.530631824271569
"V10",0.631892747388336,0.22020909345117,0.595293568923839
"V11",0.483254249098064,0.191348198633829,0.864575115272753
"V12",0.492056504965024,0.198394926434287,0.761186852251554
"V13",0.478720899600917,0.185145695833172,0.638261589151813
"V14",0.299662901389286,0.173665698802433,0.21152478933717
"V15",0.478541619571209,0.245135335015781,0.78311972914581
"V16",0.495865633892816,0.210891170550367,0.275572862837466
"V17",0.337053293800566,0.192558070618305,0.92235277606292
"V18",0.508736927783848,0.205947032918112,0.339916016509124
"V19",0.266759433260078,0.186301748769324,0.408043432665324
"V20",0.104813599160973,0,0.657413956667798
"V21",0.653132752314979,0.220901796445738,0.324694124649137
"V22",0.458737145384318,0.218579958449761,0.72831410228937
"V23",0.630369609707583,0.223693721240771,0.82138660716269
"V24",0.442876001031755,0.196685110796005,0.705939709058759
"V25",0.280334865554256,0.23656771408327,0.465821736205149
"V26",0.147474050715341,1,0.400082446754817
"V27",0.727307898646968,0.224810176446326,0.40700352229867
"V28",0.544544917953835,0.220794203185407,0.954774281013495
"V29",0.886532232526973,0.229213565149079,0.820001862814096
"V30",0.514473818990792,0.220066992282955,0.594196402031683
"V31",0.492838156022614,0.232984527515088,0.560745663707785
"V32",0.107509295560232,0.00228662054072741,0.00484294947057349
"V33",0.235978483121591,0.194311358075718,0
"V34",0.423841333047135,0.194891738990138,0.570718880730891
"V35",0.310925800964085,0.164722635342955,0.328524469064476
"V36",0.154953351577238,0.835757980454503,0.322016235939281
"V37",0.540347668847557,0.229320835929275,0.984203608943059
"V38",0.0435008081612092,0.0595636041405895,0.511699005040813
"V39",0.430673064078942,0.224063619182261,0.796559921464087
"V40",0.320005368389587,0.232871981239019,0.934498385080476
"V41",0,0.0704990876550024,0.377697812678602
"V42",0.450628753040318,0.220965211174859,0.507583421971391
"V43",0.337621124366891,0.210726628439447,0.723299532672298
"V44",0.380142901224597,0.212814861088835,0.432311011564201
"V45",0.327504743079571,0.23294530505137,0.359359876539791
