"","a","b","c","classificacoes",,
"84",0.44442051160872,0.235719443009106,0.169598408163185,3,84,
"85",0.441590081005134,0.229860282784148,0.0129187761120954,3,85,
"86",0.44651074559005,0.233471872658025,0.353908964797475,1,86,
"87",0.444469057942498,0.234012249745599,0.331682379882821,1,87,
"88",0.46103478521832,0.235575583234117,0.256493485603387,1,88,
"89",0.46843345601615,0.234342616585191,0.132979165069038,3,89,
"90",0.44572026147769,0.234191469869655,0.298143711833709,1,90,2014
"91",0.446784808253007,0.231860984793888,0.00359526439431555,3,46,2013
"92",0.442312422643158,0.22990972717701,0.0259115378960253,3,47,
"93",0.453263474968554,0.232534724355243,0.230321081996158,1,48,
"94",0.451505511264388,0.23450996705985,0.133050401193059,3,49,
"95",0.451045128791397,0.234805138982189,0.137715345868247,3,50,
"96",0.438797901041734,0.233361872306383,0.0534371037948834,3,51,
"97",0.471075159744388,0.235179965424847,0.330438336970045,1,52,
"98",0.425407703230388,0.224519017281105,0.16153353416136,3,53,
"99",0.461329338684728,0.234243005366026,0.282434168638529,1,54,
"100",0.461892160981709,0.235660508249327,0.201536491592803,3,55,
"101",0.439717730748175,0.232621479767516,0.0082030696665894,3,56,
"102",0.453439368080436,0.235535518879045,0.26056889416458,1,57,
"103",0.445211970448276,0.236537011263364,0.172824928090082,3,58,
"104",0.476585139943577,0.23459008413938,0.214287504146795,1,59,
"105",0.447697638540863,0.232705789839493,0.242660853070938,1,60,
"106",0.44018326323414,0.239129567552694,0.198722297598445,3,61,
"107",0.453517962506122,0.235655637637444,0.13480550693907,3,62,
"108",0.452008654072562,0.233965626181481,0.19139425412534,3,63,
"109",0.448747511298603,0.230954539780462,0.653866745903849,2,64,
"110",0.463417116425923,0.234957829588867,0.243783261699322,1,65,
"111",0.463759532203082,0.235631408323617,0.127997334424819,3,66,
"112",0.443444577336121,0.237471041359855,0.153578468716162,3,67,
"113",0.46989291552838,0.235594567469019,0.161849465295998,3,68,
