"","V1","V2","V3"
"V1",0.449325795353725,0.29788363377674,0.0442531386902363
"V2",0.640220863775864,0.325428590090793,0.302946293307806
"V3",0.334019662126503,0.339157924948586,0.945657204175125
"V4",0.400502688812579,0.319894564647305,1
"V5",0.409361109332616,0.320973348912788,0.682585706480896
"V6",0.398819232658124,0.322463633639178,0.800932575636485
"V7",0.202694184979784,0.324929810961605,0.0128761355828977
"V8",0.352992076672858,0.317621200153221,0.0805459176503782
"V9",0.535478245910539,0.342142530348187,0.382375716664824
"V10",0.561741947562089,0.333249239009053,0.440801752738537
"V11",0.500361075228455,0.322846293629179,0.426382919994907
"V12",0.453380762076998,0.341243440917833,0.367695498099461
"V13",0.443540418682234,0.307822691152582,0.00843299252343884
"V14",0.321136598140865,0.308129159737246,0.0121508263640756
"V15",0.665756216191176,0.343908304729776,0.516373887471956
"V16",0.389633809543308,0.323174270591704,0.264254056671218
"V17",0.96456256482253,0.345429211315568,0.156584680401952
"V18",0.248074863180901,0.349827556135393,0.788744237342081
"V19",0.558174567431301,0.330100687565219,0.467221694557545
"V20",0.321945034827969,0.309598207299304,0
"V21",0.936253509604486,0.333905936311638,0.701980132289038
"V22",0.485399595064749,0.316775050840559,0.195736173716396
"V23",0.165152221288242,0.385602169325823,0.449838525568222
"V24",0.705832613935556,0.338565023479091,0.417476110797798
"V25",0.703289834518673,0.339519061824566,0.538525663754593
"V26",0.660031222775122,0.339361298462514,0.501764894819963
"V27",0,0.240252245216644,0.360736676589481
"V28",0.318121041166047,0.343681030442866,0.575384445953215
"V29",0.786485278696981,0.338567125184149,0.867256650337282
"V30",0.924207255136711,0.347710616630407,0.454222378487469
"V31",0.0701093857124198,0.224088736800217,0.0225023640963593
"V32",0.300189635187228,0.340266884858926,0.591291348641606
"V33",0.840330635168631,0.336288264078582,0.426959629852965
"V34",0.214232980082795,0.352588554556503,0.058276045858745
"V35",1,0.349306898001713,0.37751395653175
"V36",0.482829393958705,0.3475510220115,0.487495735012782
"V37",0.446539633167287,0.33353744967998,0.401441455876794
"V38",0.321637830511949,0.357732007434159,0.483226430437731
"V39",0.578419314523461,0.346609320663047,0.640464521570847
"V40",0.404294011278919,0.332045898226072,0.693354356276333
"V41",0.401281958146818,0.350936809902024,0.610497779091503
"V42",0.343265560139564,0.339526206332264,0.390297236061097
"V43",0.372902202067218,0.34626401836924,0.531207457029989
"V44",0.10608876260383,0,0.366542878647784
"V45",0.126944187967985,1,0.379684397248738
