"","a","b","g","u"
"V1",0.787773374874187,-1.02404249189523,0.173966556176582,1
"V2",1.31038150354661,-0.173086158268455,0.299357631991852,1
"V3",1.7060358670927,0.215358832175943,0.193180378391723,1
"V4",1.64173808080462,0.368701801768252,0.134565773153678,1
"V5",1.13004965008933,-0.100711561360468,0.23080468636208,1
"V6",0.982437965499686,1.82547824375441,0.230046379949437,1
"V7",1.1242400954879,1.26760733122779,0.213413252785111,1
"V8",1.30929731349871,0.476034490074486,0.267262509462651,1
"V9",1.55437118453519,1.18226200410545,0.153151836698076,1
"V10",1.35374091814057,0.601931277175036,0.22897969028391,1
"V11",2.16915778330289,1.90865403082191,0.19567166858583,1
"V12",-1.14989389254641,-4.24576232601082,0.119786178209217,1
"V13",-0.68163561862105,-4.04095683507505,0.000331662092886626,1
"V14",2.02868341641467,0.314158536878821,0.32259255484913,1
"V15",2.91440880859551,2.85504077726192,0.174120320597391,1
"V16",2.09908294159497,0.762734050423125,0.24681185281664,1
"V17",0.437109297098951,4.36620672179178,0.145629727345141,1
"V18",1.60777915644544,0.550414004844254,0.207907913734677,1
"V19",2.24610039075971,1.86181999781182,0.0567941420946316,1
"V20",1.05937901502913,0.470402852312898,0.0321599287224451,1
"V21",0.646856322639422,3.36659595837022,0.167402792360148,1
"V22",1.51340807954292,0.966971371565876,0.200853327596335,1
"V23",0.158565071579409,6.53279783876338,0.0604655986389484,1
"V24",1.3493858896081,0.322011141700642,0.0536930268433335,1
"V25",1.3890877122324,1.2631869472783,0.125204833732373,1
"V26",1.50283242348364,1.90024228025854,0.172144253835455,1
"V27",1.85025279631869,3.08526312086733,0.213826371796527,1
"V28",1.63036641655664,0.529758184435968,0.224312760552223,1
"V29",1.49237033623009,1.6251903775554,0.134558173886124,1
"V30",0.268850497695343,2.80109093406427,0.026595943010473,1
"V31",0.635482768737915,4.50603892526112,0.198739438339488,1
"V32",-1.64606938648651,-3.00264697159309,0.227050238954848,1
"V33",0.839893845788048,-0.308257880478215,0.0105978635895135,1
"V34",1.24490113719625,1.94596711754171,0.151410358281552,1
"V35",2.35464421537491,2.0399574352201,0.181649872197696,1
"V36",1.83061883091384,1.16251039843316,0.121050618165347,1
"V37",1.12291676124086,0.825305422766785,0.0707715857047884,1
"V38",1.75598853375129,1.03677467233961,0.174007342687418,1
"V39",0.437511558788963,-0.244250184658572,0.0308632977259426,1
"V40",0.755091257273094,0.712868763694242,0.0753237938708378,1
"V41",0.856157009708925,0.626416293629029,0.00235719935775966,1
"V42",1.52881344790464,1.71341943207457,0.134455276285638,1
"V43",1.40798430327012,-0.627973655161401,0.137182233725536,1
"V44",0.787479072019566,-1.27967276720184,0.0144640738128037,1
"V45",0.951824848906574,-1.11440974546469,0.00701948583452639,1
